Moto G5 Plus;32/64 GB;Lunar Grey, Fine Gold;2/4 GB RAM; 32 GB;5.2
DROID XYBOARD 8.2 MZ609 ;16/32 GB;Black;1 GB RAM;8.2
DROID XYBOARD 10.1 MZ617;16/32/64 GB;Black;1 GB RAM;10.1
XT532;512 MB;Black;512 MB RAM;3.5
MOTO XT615;1 GB;Licorice, Ultra white;512 MB RAM;4.0
EX226;50 MB;Smoke Gray with Licorice;128 MB ROM;2.4
Motokey Social;50 MB;Smoke Gray;128 MB ROM;2.4
XOOM 2 Media Edition 3G MZ608;16 GB;Black;1 GB RAM;8.2
XOOM 2 Media Edition MZ607;16/32 GB;Black;1 GB RAM;8.2
XOOM 2 3G MZ616;16/32 GB;Black;1 GB RAM;10.1
XOOM 2 MZ615;16/32 GB;Black;1 GB RAM;10.1
XOOM Media Edition MZ505;16 GB;Black;1 GB RAM;10.1
RAZR XT910;16 GB (11.5 GB user available);Black, White;1 GB RAM;4.3
DROID RAZR XT912;16 GB;Black, White, Purple;1 GB RAM;4.3
ATRIX 2 MB865;8 GB;Black;1 GB RAM;4.3
Admiral XT603;4 GB;Black;512 MB RAM;3.1
ME632;4 GB;Black;512 MB RAM;3.1
PRO+;4 GB;Black;512 MB RAM;3.1
DEFY+;2 GB;Black, White;512 MB RAM;3.7
EX212;2 GB;Various;ram;2.4
EX119;2 GB;White, Black;ram;2.4
MOTOKEY XT EX118;2 GB;White, Black;ram;2.4
MOTOKEY Mini EX109;2 GB;Brown;ram;2.0
MOTOKEY Mini EX108;2 GB;White;ram;2.0
WX294;2 GB;Black;ram;1.8
FIRE XT;512 MB;Black;512 MB RAM;3.5
FIRE XT311;512 MB;Black;256 MB RAM;2.8
SPICE Key XT317;512 MB;Black, White;256 MB RAM;2.8
SPICE Key;512 MB;Black;256 MB RAM;2.8
MILESTONE 3 XT860;8 GB;Black;512 MB RAM;4.0
DROID 3;16 GB;Black;512 MB RAM;4.0
Triumph;2 GB;Black;512 MB RAM;4.1
Photon 4G MB855;16 GB;Black;1 GB RAM;4.3
EX232;64 MB ROM;White, Black;128 MB RAM;2.8
WILDER;64 MB RAM;Licorice and Saffron, Licorice and Classic Gray;128 MB ROM;2.8
MOTO MT870;4 GB;Cloud gray, Light gold;512 MB RAM;4.0
MOTO MT620;512 MB;Various;256 MB RAM;3.1
Milestone XT883;16 GB;Black;512 MB RAM;4.0
MOTO XT882;8 GB;Electric magic black, White beam;512 MB RAM;4.0
MOTO XT316;512 MB;Black;256 MB RAM;2.8
XPRT MB612;512 MB;Black;ram;3.1
GLEAM;512 MB;Black, Red;ram;2.4
PRO;512 MB;Black;ram;3.1
XOOM MZ604;16/32/64 GB;Black;1 GB RAM;10.1
XOOM MZ601;16/32/64 GB;Black;1 GB RAM;10.1
XOOM MZ600;16/32/64 GB;Black;1 GB RAM;10.1
ATRIX;16 GB;Black;1 GB RAM;4.0
ATRIX 4G;16 GB;Black;1 GB RAM;4.0
Cliq 2;1 GB;Black;512 MB RAM;3.7
DROID BIONIC XT875;16 GB;Black;512 MB RAM;4.3
DROID X ME811;1 GB;Black;512 MB RAM;4.3
DROID BIONIC XT865;16 GB;Black;512 MB RAM;4.3
MOTO ME525;2 GB;Black;512 MB RAM;3.7
MILESTONE 2 ME722;8 GB;Black;512 MB RAM;3.7
DROID 2 Global;8 GB;White, Black;512 MB RAM;3.7
EX122;128 MB ROM;Black;64 MB RAM;3.2
EX128;128 MB ROM;Black;ram;3.2
MOTOTV EX245;128 MB ROM;Black;ram;3.2
DROID PRO XT610;2 GB;Black;512 MB RAM;3.1
XT301;512 MB;Black;256 MB RAM;3.0
SPICE XT300;512 MB;Black;256 MB RAM;3.0
FLIPSIDE MB508;512 MB;Black;512 MB RAM;3.1
MOTO MT716;512 MB;Black;512 MB RAM;3.7
BRAVO MB520;2 GB;Black;512 MB RAM;3.7
CITRUS WX445;512 MB;Black;256 MB RAM;3.0
EX300;512 MB;Black;ram;2.8
EX210;512 MB;Black;ram;3.2
EX201;512 MB;Black;ram;3.0
EX115;512 MB;Smoke Gray, Ultra White;ram;2.3
EX112;512 MB;Smoke Gray, Ultra White;ram;2.3
CUPE;512 MB;Black;ram;2.4
DEFY;2 GB;Black, White;512 MB RAM;3.7
MILESTONE 2;2 GB;Black;ram;3.7
DROID 2;2 GB;Black;ram;3.7
MT810lx;512 MB;Gray;512 MB RAM;3.2
XT810;512 MB;Gray;256 MB RAM;3.2
XT806;512 MB;Gray;512 MB RAM;3.2
A1260;512 MB;Gray;256 MB RAM;3.0
A1680;512 MB;Gray;256 MB RAM;3.1
